GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E01001
GIS Join Match Code,Data File Year,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Reservation/Trust Lands Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,County Name,County Code,County Subdivision Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,5-Digit ZIP Code Code,Congressional District (103rd) Code,Area Name/PSAD Term/Part Indicator,Per capita income in 1989
"G0100010","1990",,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,,"Autauga County",11182
"G0100030","1990",,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,,"Baldwin County",12275
"G0100050","1990",,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,,"Barbour County",9515
"G0100070","1990",,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,,"Bibb County",8973
"G0100090","1990",,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,,"Blount County",10168
"G0100110","1990",,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,,"Bullock County",6922
"G0100130","1990",,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,,"Butler County",7903
"G0100150","1990",,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,,"Calhoun County",10704
"G0100170","1990",,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,,"Chambers County",10000
"G0100190","1990",,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,,"Cherokee County",9915
"G0100210","1990",,,,,,,,,,"Chilton","021",,"6","9999",,"9999","3","Alabama","01",,,,,"Chilton County",9826
"G0100230","1990",,,,,,,,,,"Choctaw","023",,"6","9999",,"9999","3","Alabama","01",,,,,"Choctaw County",9622
"G0100250","1990",,,,,,,,,,"Clarke","025",,"6","9999",,"9999","3","Alabama","01",,,,,"Clarke County",9031
"G0100270","1990",,,,,,,,,,"Clay","027",,"6","9999",,"9999","3","Alabama","01",,,,,"Clay County",9533
"G0100290","1990",,,,,,,,,,"Cleburne","029",,"6","9999",,"9999","3","Alabama","01",,,,,"Cleburne County",9876
"G0100310","1990",,,,,,,,,,"Coffee","031",,"6","9999",,"9999","3","Alabama","01",,,,,"Coffee County",11286
"G0100330","1990",,,,,,,,,,"Colbert","033",,"6","2650",,"9999","3","Alabama","01",,,,,"Colbert County",11425
"G0100350","1990",,,,,,,,,,"Conecuh","035",,"6","9999",,"9999","3","Alabama","01",,,,,"Conecuh County",7953
"G0100370","1990",,,,,,,,,,"Coosa","037",,"6","9999",,"9999","3","Alabama","01",,,,,"Coosa County",9234
"G0100390","1990",,,,,,,,,,"Covington","039",,"6","9999",,"9999","3","Alabama","01",,,,,"Covington County",9315
"G0100410","1990",,,,,,,,,,"Crenshaw","041",,"6","9999",,"9999","3","Alabama","01",,,,,"Crenshaw County",8848
"G0100430","1990",,,,,,,,,,"Cullman","043",,"6","9999",,"9999","3","Alabama","01",,,,,"Cullman County",10447
"G0100450","1990",,,,,,,,,,"Dale","045",,"6","2180",,"9999","3","Alabama","01",,,,,"Dale County",10580
"G0100470","1990",,,,,,,,,,"Dallas","047",,"6","9999",,"9999","3","Alabama","01",,,,,"Dallas County",8344
"G0100490","1990",,,,,,,,,,"DeKalb","049",,"6","9999",,"9999","3","Alabama","01",,,,,"DeKalb County",9604
"G0100510","1990",,,,,,,,,,"Elmore","051",,"6","5240",,"9999","3","Alabama","01",,,,,"Elmore County",10677
"G0100530","1990",,,,,,,,,,"Escambia","053",,"6","9999",,"9999","3","Alabama","01",,,,,"Escambia County",8858
"G0100550","1990",,,,,,,,,,"Etowah","055",,"6","2880",,"9999","3","Alabama","01",,,,,"Etowah County",10997
"G0100570","1990",,,,,,,,,,"Fayette","057",,"6","9999",,"9999","3","Alabama","01",,,,,"Fayette County",9864
"G0100590","1990",,,,,,,,,,"Franklin","059",,"6","9999",,"9999","3","Alabama","01",,,,,"Franklin County",9049
"G0100610","1990",,,,,,,,,,"Geneva","061",,"6","9999",,"9999","3","Alabama","01",,,,,"Geneva County",9768
"G0100630","1990",,,,,,,,,,"Greene","063",,"6","9999",,"9999","3","Alabama","01",,,,,"Greene County",6306
"G0100650","1990",,,,,,,,,,"Hale","065",,"6","9999",,"9999","3","Alabama","01",,,,,"Hale County",8164
"G0100670","1990",,,,,,,,,,"Henry","067",,"6","9999",,"9999","3","Alabama","01",,,,,"Henry County",9909
"G0100690","1990",,,,,,,,,,"Houston","069",,"6","2180",,"9999","3","Alabama","01",,,,,"Houston County",12118
"G0100710","1990",,,,,,,,,,"Jackson","071",,"6","9999",,"9999","3","Alabama","01",,,,,"Jackson County",10144
"G0100730","1990",,,,,,,,,,"Jefferson","073",,"6","1000",,"9999","3","Alabama","01",,,,,"Jefferson County",13277
"G0100750","1990",,,,,,,,,,"Lamar","075",,"6","9999",,"9999","3","Alabama","01",,,,,"Lamar County",9945
"G0100770","1990",,,,,,,,,,"Lauderdale","077",,"6","2650",,"9999","3","Alabama","01",,,,,"Lauderdale County",11685
"G0100790","1990",,,,,,,,,,"Lawrence","079",,"6","2030",,"9999","3","Alabama","01",,,,,"Lawrence County",9800
"G0100810","1990",,,,,,,,,,"Lee","081",,"6","9999",,"9999","3","Alabama","01",,,,,"Lee County",11409
