GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GNW001
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Tribal Census Tract Code,Block Group Code,Tribal Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Tribal Subdivision Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Primary Metropolitan Statistical Area Code,New England County Metropolitan Area Code,Urban Area Code,Urban/Rural Code,Congressional District (106th) Code,Congressional District (108th) Code,Congressional District (109th) Code,3-Digit Zip Code Tabulation Area Code,5-Digit Zip Code Tabulation Area Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Per capita income in 1999
"G0100010","2000","3","6","Alabama","01","Autauga","001",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Autauga County",18518
"G0100030","2000","3","6","Alabama","01","Baldwin","003",,,,,,,,,,,,,"5160","9999","9999",,,,,,,,"Baldwin County",20826
"G0100050","2000","3","6","Alabama","01","Barbour","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Barbour County",13316
"G0100070","2000","3","6","Alabama","01","Bibb","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bibb County",14105
"G0100090","2000","3","6","Alabama","01","Blount","009",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Blount County",16325
"G0100110","2000","3","6","Alabama","01","Bullock","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bullock County",10163
"G0100130","2000","3","6","Alabama","01","Butler","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Butler County",15715
"G0100150","2000","3","6","Alabama","01","Calhoun","015",,,,,,,,,,,,,"0450","9999","9999",,,,,,,,"Calhoun County",17367
"G0100170","2000","3","6","Alabama","01","Chambers","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chambers County",15147
"G0100190","2000","3","6","Alabama","01","Cherokee","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cherokee County",15543
"G0100210","2000","3","6","Alabama","01","Chilton","021",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chilton County",15303
"G0100230","2000","3","6","Alabama","01","Choctaw","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Choctaw County",14635
"G0100250","2000","3","6","Alabama","01","Clarke","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clarke County",14581
"G0100270","2000","3","6","Alabama","01","Clay","027",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clay County",13785
"G0100290","2000","3","6","Alabama","01","Cleburne","029",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cleburne County",14762
"G0100310","2000","3","6","Alabama","01","Coffee","031",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coffee County",18321
"G0100330","2000","3","6","Alabama","01","Colbert","033",,,,,,,,,,,,,"2650","9999","9999",,,,,,,,"Colbert County",17533
"G0100350","2000","3","6","Alabama","01","Conecuh","035",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Conecuh County",12964
"G0100370","2000","3","6","Alabama","01","Coosa","037",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coosa County",14875
"G0100390","2000","3","6","Alabama","01","Covington","039",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Covington County",15365
"G0100410","2000","3","6","Alabama","01","Crenshaw","041",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Crenshaw County",14565
"G0100430","2000","3","6","Alabama","01","Cullman","043",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cullman County",16922
"G0100450","2000","3","6","Alabama","01","Dale","045",,,,,,,,,,,,,"2180","9999","9999",,,,,,,,"Dale County",16010
"G0100470","2000","3","6","Alabama","01","Dallas","047",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dallas County",13638
"G0100490","2000","3","6","Alabama","01","DeKalb","049",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"DeKalb County",15818
"G0100510","2000","3","6","Alabama","01","Elmore","051",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Elmore County",17650
"G0100530","2000","3","6","Alabama","01","Escambia","053",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Escambia County",14396
"G0100550","2000","3","6","Alabama","01","Etowah","055",,,,,,,,,,,,,"2880","9999","9999",,,,,,,,"Etowah County",16783
"G0100570","2000","3","6","Alabama","01","Fayette","057",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Fayette County",14439
