GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E3N001,E3N002,E3N003,E3N004,E3N005,E3N006,E3N007,E3N008,E3N009
GIS Join Match Code,Data File Year,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Reservation/Trust Lands Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,County Name,County Code,County Subdivision Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,5-Digit ZIP Code Code,Congressional District (103rd) Code,Area Name/PSAD Term/Part Indicator,Native (001-099): Born in State of residence,"Native (001-099): Born in other State in the United States (001-059): Northeast (009, 023, 025, 033-034, 036, 042-044, 050)","Native (001-099): Born in other State in the United States (001-059): Midwest (017-020, 026-027, 029, 031, 038-039, 046, 055)","Native (001-099): Born in other State in the United States (001-059): South (001, 005, 010-014, 021-022, 024, 028, 037, 040, 045, 047-048, 051-052, 054)","Native (001-099): Born in other State in the United States (001-059): West (002-004, 006-008, 015-016, 030, 032, 035, 041, 049, 053, 056-059)",Native (001-099): Born outside the United States (060-099): Puerto Rico (072-075),"Native (001-099): Born outside the United States (060-099): U.S. outlying area (060-071, 076-099)",Native (001-099): Born outside the United States (060-099): Born abroad of American parent(s),Foreign born (100-999)
"G0100010","1990",,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,,"Autauga County",24379,827,1619,5860,814,0,7,375,341
"G0100030","1990",,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,,"Baldwin County",63928,4014,8161,18910,1704,21,0,567,975
"G0100050","1990",,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,,"Barbour County",19237,537,777,4463,245,0,0,76,82
"G0100070","1990",,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,,"Bibb County",14775,178,320,1121,140,0,3,21,18
"G0100090","1990",,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,,"Blount County",33869,327,1233,3093,390,0,0,89,247
"G0100110","1990",,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,,"Bullock County",9922,103,182,764,47,0,0,0,24
"G0100130","1990",,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,,"Butler County",19639,184,362,1456,113,11,0,77,50
"G0100150","1990",,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,,"Calhoun County",82664,3757,6053,17444,2543,304,21,1786,1462
"G0100170","1990",,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,,"Chambers County",29573,445,565,5906,259,6,0,29,93
"G0100190","1990",,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,,"Cherokee County",13285,102,631,5315,151,0,0,12,47
