Data Download from NCSES Interactive Data Tool

Filters,Selected values
"State","ALL"
"Fiscal Year","ALL"
"Institution Name","ALL"

"Deflator: 2012 Dollars",
"Unit of Measure: Thousands of Dollars",

,"<Fiscal Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973",
,"<measures>"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)"," Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)",
"[State]","[Institution Name]",
"Alabama","Total for selected values","1,000,184","955,684","921,007","891,594","856,972","783,954","823,420","830,538","915,653","881,351","816,280","768,350","717,625","676,183","682,671","680,023","672,021","621,171","561,844","548,333","545,491","587,234","541,861","481,947","468,425","446,131","417,655","393,550","393,171","397,550","363,089","322,959","280,888","250,052","198,664","170,808","143,198","144,058","146,547","143,199","144,217","127,746","126,587","120,257","127,034","113,723","107,747",
"Alabama","Alabama A&M U.","11,431","15,375","19,474","23,705","27,868","28,415","29,207","29,979","30,818","31,731","15,528","9,502","14,783","16,023","18,388","20,559","44,643","19,391","15,011","10,551","15,139","18,786","13,181","13,138","13,103","15,766","13,517","10,476","10,177","11,010","10,219","10,397","7,948","7,160","6,302","5,467","4,029","3,788","3,460","3,106","3,436","-","3,169","4,658","9,451","3,280","2,769",
"Alabama","Alabama State U.","2,294","2,210","2,087","2,239","2,198","2,157","1,894","13,607","12,577","13,880","18,067","2,610","2,054","2,110","2,173","1,991","1,978","1,768","1,796","1,748","1,787","1,563","1,099","1,366","1,391","1,499","775","912","681","664","743","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Athens State U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","-","-","-","-","-","75","95","102","101","-","463","362","248","542","-",
"Alabama","Auburn U. all campuses","-","-","-","-","-","-","-","-","-","-","152,163","156,876","153,054","141,425","152,874","149,351","143,367","134,204","133,284","118,616","105,465","116,584","114,795","119,369","119,061","120,425","98,884","99,181","106,212","104,907","87,681","89,297","84,221","86,097","66,480","56,669","51,269","47,334","49,081","47,898","53,317","47,273","47,594","40,688","40,367","38,159","37,760",
"Alabama","Auburn U., Auburn","206,198","193,340","176,325","143,844","129,689","137,430","144,690","133,013","166,468","150,988","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Auburn U., Montgomery","-","-","-","-","-","-","-","-","763","365","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Alabama","Birmingham Southern C.","-","-","-","-","-","-","-","-","-","-","-","191","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
