Data Download from NCSES Interactive Data Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters,Selected values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPEDS UnitID,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflator: 2012 Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure: Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<Fiscal Year>,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973
,<measures>, Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)
[State],[IPEDS UnitID],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Total for selected values,"1,000,184","955,684","921,007","891,594","856,972","783,954","823,420","830,538","915,653","881,351","816,280","768,350","717,625","676,183","682,671","680,023","672,021","621,171","561,844","548,333","545,491","587,234","541,861","481,947","468,425","446,131","417,655","393,550","393,171","397,550","363,089","322,959","280,888","250,052","198,664","170,808","143,198","144,058","146,547","143,199","144,217","127,746","126,587","120,257","127,034","113,723","107,747"
Alabama,100654,"11,431","15,375","19,474","23,705","27,868","28,415","29,207","29,979","30,818","31,731",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100663,"541,148","534,103","520,482","507,695","492,638","413,352","433,193","453,779","513,359","509,668",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100706,"97,699","90,262","87,427","91,439","84,397","86,155","99,274","87,388","77,176","78,746",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100724,"2,294","2,210","2,087","2,239","2,198","2,157","1,894","13,607","12,577","13,880",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100751,"74,173","65,370","58,623","59,045","55,573","51,254","54,487","55,885","54,662","42,412",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100830,-,-,-,-,-,-,-,-,763,365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100858,"206,198","193,340","176,325","143,844","129,689","137,430","144,690","133,013","166,468","150,988",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,101480,"2,162","2,731","2,890","3,050","3,094",-,-,-,636,414,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,101879,-,-,-,-,-,-,-,-,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,101912,-,-,-,912,-,931,-,724,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,102094,"46,774","37,280","38,380","44,055","41,724","40,202","39,890","40,172","43,043","36,937",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,102377,"18,305","15,014","15,318","15,609","19,792","24,060","20,785","15,991","15,986","16,212",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"816,280","768,350","717,625","676,183","682,671","680,023","672,021","621,171","561,844","548,333","545,491","587,234","541,861","481,947","468,425","446,131","417,655","393,550","393,171","397,550","363,089","322,959","280,888","250,052","198,664","170,808","143,198","144,058","146,547","143,199","144,217","127,746","126,587","120,257","127,034","113,723","107,747"
