year,state,county,county_id,state_id,COUNTYFIPS,total_population,total_native,total_born_in_state,total_born_out_state,total_born_outside_US,total_foreign_born,income_past12m
2010,California,Merced County,047,06,06047,250699,188498,156434,29768,2296,62201,18041.0
2010,California,Modoc County,049,06,06049,9605,8971,6067,2882,22,634,20536.0
2010,California,Mono County,051,06,06051,13905,11341,7059,4108,174,2564,27321.0
2010,California,Monterey County,053,06,06053,407435,284647,208218,69900,6529,122788,25776.0
2010,California,Napa County,055,06,06055,134051,103891,73787,27759,2345,30160,34310.0
2010,California,Nevada County,057,06,06057,98186,92793,62972,29032,789,5393,30727.0
2010,California,Orange County,059,06,06059,2965525,2062488,1475897,558784,27807,903037,34017.0
2010,California,Placer County,061,06,06061,336477,302458,210651,88224,3583,34019,35680.0
2010,California,Plumas County,063,06,06063,20392,19221,12575,6485,161,1171,28732.0
2010,California,Riverside County,065,06,06065,2109464,1637537,1187299,428950,21288,471927,24431.0
2010,California,Sacramento County,067,06,06067,1395144,1121374,822957,279913,18504,273770,26953.0
2010,California,San Benito County,069,06,06069,54492,42906,35407,7286,213,11586,25508.0
2010,California,San Bernardino County,071,06,06071,2005287,1572656,1210312,338153,24191,432631,21867.0
2010,California,San Diego County,073,06,06073,3022468,2323982,1421078,850452,52452,698486,30715.0
2010,California,San Francisco County,075,06,06075,789172,508110,302944,192550,12616,281062,45478.0
2010,California,San Joaquin County,077,06,06077,673613,516632,414252,94982,7398,156981,22851.0
2010,California,San Luis Obispo County,079,06,06079,265577,239021,172672,63817,2532,26556,29790.0
2010,California,San Mateo County,081,06,06081,704327,465102,336825,117768,10509,239225,43958.0
2010,California,Santa Barbara County,083,06,06083,416051,317266,219338,92876,5052,98785,29731.0
2010,California,Santa Clara County,085,06,06085,1739396,1095966,788848,285882,21236,643430,39804.0
2010,California,Santa Cruz County,087,06,06087,256901,209644,154090,52699,2855,47257,32862.0
2010,California,Shasta County,089,06,06089,176906,167881,119711,46629,1541,9025,23772.0
2010,California,Sierra County,091,06,06091,3366,3189,1888,1284,17,177,27389.0
2010,California,Siskiyou County,093,06,06093,44690,42085,27317,14427,341,2605,22179.0
2010,California,Solano County,095,06,06095,410042,328413,227032,92584,8797,81629,28649.0
2010,California,Sonoma County,097,06,06097,474047,395419,288238,102447,4734,78628,32597.0
2010,California,Stanislaus County,099,06,06099,509682,405861,323494,73052,9315,103821,22064.0
2010,California,Sutter County,101,06,06101,93420,72601,54653,16576,1372,20819,22344.0
2010,California,Tehama County,103,06,06103,62575,55819,40165,15369,285,6756,20198.0
2010,California,Trinity County,105,06,06105,13701,13276,9089,4118,69,425,22073.0
2010,California,Tulare County,107,06,06107,429404,330131,275026,52734,2371,99273,17966.0
2010,California,Tuolumne County,109,06,06109,56074,53869,38994,14394,481,2205,25483.0
2010,California,Ventura County,111,06,06111,809080,624069,445446,170165,8458,185011,32348.0
2010,California,Yolo County,113,06,06113,196418,156261,117912,35628,2721,40157,27420.0
2010,California,Yuba County,115,06,06115,71160,61831,43810,16897,1124,9329,19937.0
2010,Colorado,Adams County,001,08,08001,425330,361017,215283,141689,4045,64313,23999.0
2010,Colorado,Alamosa County,003,08,08003,15293,14371,9436,4723,212,922,18820.0
2010,Colorado,Arapahoe County,005,08,08005,552860,470446,214591,248065,7790,82414,31898.0
2010,Colorado,Archuleta County,007,08,08007,12136,11926,4748,7134,44,210,25421.0
2010,Colorado,Baca County,009,08,08009,3833,3728,1996,1717,15,105,21472.0
2010,Colorado,Bent County,011,08,08011,6125,5841,3363,2371,107,284,16505.0
2010,Colorado,Boulder County,013,08,08013,290177,257764,92473,161754,3537,32413,36947.0
2010,Colorado,Broomfield County,014,08,08014,52872,48616,21480,26636,500,4256,35836.0
2010,Colorado,Chaffee County,015,08,08015,17540,16982,7482,9325,175,558,26110.0
2010,Colorado,Cheyenne County,017,08,08017,2194,2075,1194,878,3,119,22999.0
2010,Colorado,Clear Creek County,019,08,08019,9088,8809,3061,5682,66,279,34506.0
2010,Colorado,Conejos County,021,08,08021,8220,7876,6212,1596,68,344,17541.0
2010,Colorado,Costilla County,023,08,08023,3536,3201,2158,995,48,335,16525.0
2010,Colorado,Crowley County,025,08,08025,5897,5535,3057,2305,173,362,18966.0
2010,Colorado,Custer County,027,08,08027,3899,3815,1455,2319,41,84,26860.0
2010,Colorado,Delta County,029,08,08029,30533,29098,15223,13704,171,1435,22080.0
2010,Colorado,Denver County,031,08,08031,578087,481857,240860,233771,7226,96230,30806.0
2010,Colorado,Dolores County,033,08,08033,2027,2023,957,1040,26,4,19244.0
2010,Colorado,Douglas County,035,08,08035,273440,257256,100859,153187,3210,16184,42418.0
2010,Colorado,Eagle County,037,08,08037,50793,40690,15823,24236,631,10103,36753.0
2010,Colorado,Elbert County,039,08,08039,22712,22132,10089,11896,147,580,34782.0
2010,Colorado,El Paso County,041,08,08041,599988,556805,186776,350697,19332,43183,27945.0
2010,Colorado,Fremont County,043,08,08043,46941,43880,21604,22002,274,3061,19083.0
2010,Colorado,Garfield County,045,08,08045,54761,45613,20487,24444,682,9148,28457.0
2010,Colorado,Gilpin County,047,08,08047,5126,4975,1722,3154,99,151,33591.0
2010,Colorado,Grand County,049,08,08049,14526,13824,6355,7326,143,702,30055.0
2010,Colorado,Gunnison County,051,08,08051,15136,14309,5506,8618,185,827,28490.0
2010,Colorado,Hinsdale County,053,08,08053,489,475,136,334,5,14,43293.0
2010,Colorado,Huerfano County,055,08,08055,6948,6651,3725,2876,50,297,23139.0
2010,Colorado,Jackson County,057,08,08057,1464,1441,722,687,32,23,23814.0
2010,Colorado,Jefferson County,059,08,08059,528614,494914,247389,242482,5043,33700,34714.0
2010,Colorado,Kiowa County,061,08,08061,1643,1626,1150,472,4,17,22877.0
2010,Colorado,Kit Carson County,063,08,08063,8156,7322,4709,2600,13,834,21086.0
2010,Colorado,Lake County,065,08,08065,7039,5980,3104,2854,22,1059,20437.0
2010,Colorado,La Plata County,067,08,08067,50149,48566,18776,29355,435,1583,29836.0
2010,Colorado,Larimer County,069,08,08069,291162,275750,112271,160772,2707,15412,30046.0
2010,Colorado,Las Animas County,071,08,08071,15675,15097,8625,6330,142,578,21887.0
2010,Colorado,Lincoln County,073,08,08073,5476,5218,3354,1799,65,258,23440.0
2010,Colorado,Logan County,075,08,08075,22278,21231,12679,8382,170,1047,22564.0
2010,Colorado,Mesa County,077,08,08077,142284,136368,68314,67075,979,5916,27067.0
2010,Colorado,Mineral County,079,08,08079,1020,1001,336,661,4,19,46358.0
2010,Colorado,Moffat County,081,08,08081,13519,12694,6916,5599,179,825,24563.0
2010,Colorado,Montezuma County,083,08,08083,25279,24735,10864,13736,135,544,24616.0
2010,Colorado,Montrose County,085,08,08085,40266,37149,18134,18641,374,3117,23613.0
2010,Colorado,Morgan County,087,08,08087,27911,24105,15644,8268,193,3806,20181.0
2010,Colorado,Otero County,089,08,08089,18830,18080,12647,5323,110,750,18056.0
2010,Colorado,Ouray County,091,08,08091,4319,4199,1276,2902,21,120,29051.0
2010,Colorado,Park County,093,08,08093,16286,15632,5706,9746,180,654,31663.0
2010,Colorado,Phillips County,095,08,08095,4394,3946,2726,1215,5,448,23453.0
2010,Colorado,Pitkin County,097,08,08097,16389,14329,3660,10313,356,2060,64381.0
2010,Colorado,Prowers County,099,08,08099,12734,11462,7534,3784,144,1272,18429.0
2010,Colorado,Pueblo County,101,08,08101,156244,150954,102365,47419,1170,5290,21609.0
2010,Colorado,Rio Blanco County,103,08,08103,6494,6092,3095,2972,25,402,28382.0
2010,Colorado,Rio Grande County,105,08,08105,11926,11304,7757,3491,56,622,17199.0
2010,Colorado,Routt County,107,08,08107,22924,22051,8890,12767,394,873,33079.0
2010,Colorado,Saguache County,109,08,08109,6161,5398,3167,2191,40,763,18686.0
2010,Colorado,San Juan County,111,08,08111,752,737,303,434,0,15,31232.0
2010,Colorado,San Miguel County,113,08,08113,7299,6686,2060,4481,145,613,38247.0
2010,Colorado,Sedgwick County,115,08,08115,2412,2357,1278,1066,13,55,21652.0
2010,Colorado,Summit County,117,08,08117,27105,23811,7049,16544,218,3294,35770.0
2010,Colorado,Teller County,119,08,08119,22821,22344,6243,15551,550,477,28726.0
2010,Colorado,Washington County,121,08,08121,4773,4573,3046,1494,33,200,23125.0
2010,Colorado,Weld County,123,08,08123,242860,219814,126531,90941,2342,23046,24732.0
2010,Colorado,Yuma County,125,08,08125,9896,8736,5996,2724,16,1160,21872.0
2010,Connecticut,Fairfield County,001,09,09001,905342,723015,390849,305791,26375,182327,48295.0
2010,Connecticut,Hartford County,003,09,09003,887976,761760,499262,218487,44011,126216,33151.0
2010,Connecticut,Litchfield County,005,09,09005,189916,177857,128561,47385,1911,12059,35848.0
2010,Connecticut,Middlesex County,007,09,09007,164774,151997,104464,44952,2581,12777,37519.0
2010,Connecticut,New Haven County,009,09,09009,856688,759065,535325,191626,32114,97623,31720.0
2010,Connecticut,New London County,011,09,09011,272360,249662,141319,100985,7358,22698,32888.0
2010,Connecticut,Tolland County,013,09,09013,151073,141008,93050,45986,1972,10065,33108.0
2010,Connecticut,Windham County,015,09,09015,117708,112293,68319,40073,3901,5415,26457.0
2010,Delaware,Kent County,001,10,10001,156918,148781,71671,73491,3619,8137,24194.0
2010,Delaware,New Castle County,003,10,10003,533514,482095,247992,225431,8672,51419,31220.0
2010,Delaware,Sussex County,005,10,10005,190846,177871,80943,95388,1540,12975,26779.0
2010,Florida,Alachua County,001,12,12001,244247,219306,122240,91939,5127,24941,24741.0
2010,Florida,Baker County,003,12,12003,26548,26289,18612,7428,249,259,19593.0
2010,Florida,Bay County,005,12,12005,166798,157728,65462,88434,3832,9070,25033.0
2010,Florida,Bradford County,007,12,12007,28750,28272,18622,9346,304,478,16997.0
2010,Florida,Brevard County,009,12,12009,540583,494121,165442,314631,14048,46462,27606.0
2010,Florida,Broward County,011,12,12011,1734139,1198311,540934,607594,49783,535828,28631.0
2010,Florida,Calhoun County,013,12,12013,14372,13854,9020,4690,144,518,15091.0
2010,Florida,Charlotte County,015,12,12015,159385,144661,29521,112886,2254,14724,26938.0
2010,Florida,Citrus County,017,12,12017,140686,133237,38258,93067,1912,7449,22551.0
2010,Florida,Clay County,019,12,12019,186076,175187,77817,92531,4839,10889,26872.0
2010,Florida,Collier County,021,12,12021,316931,242059,67795,169350,4914,74872,37046.0
2010,Florida,Columbia County,023,12,12023,66964,64771,38720,25289,762,2193,19366.0
2010,Florida,DeSoto County,027,12,12027,34557,27789,14869,12401,519,6768,15989.0
2010,Florida,Dixie County,029,12,12029,16196,15783,10396,5183,204,413,17066.0
2010,Florida,Duval County,031,12,12031,854848,777943,409669,350642,17632,76905,25854.0
2010,Florida,Escambia County,033,12,12033,297940,280255,129208,145345,5702,17685,23474.0
2010,Florida,Flagler County,035,12,12035,91806,80692,19681,59064,1947,11114,24939.0
2010,Florida,Franklin County,037,12,12037,11470,11112,6739,4132,241,358,21005.0
2010,Florida,Gadsden County,039,12,12039,46031,43467,31945,10973,549,2564,16843.0
2010,Florida,Gilchrist County,041,12,12041,16683,16241,9915,6204,122,442,18309.0
2010,Florida,Glades County,043,12,12043,12617,10560,5693,4725,142,2057,17872.0
2010,Florida,Gulf County,045,12,12045,15879,15368,9253,6006,109,511,17968.0
2010,Florida,Hamilton County,047,12,12047,14696,13962,8732,5137,93,734,15794.0
2010,Florida,Hardee County,049,12,12049,27521,21654,13479,7849,326,5867,14668.0
2010,Florida,Hendry County,051,12,12051,39030,28197,18568,8698,931,10833,14734.0
2010,Florida,Hernando County,053,12,12053,170337,159057,46059,107600,5398,11280,22775.0
2010,Florida,Highlands County,055,12,12055,98807,87626,32018,52369,3239,11181,19579.0
2010,Florida,Hillsborough County,057,12,12057,1200236,1019128,469658,497090,52380,181108,27062.0
2010,Florida,Holmes County,059,12,12059,19992,19534,11483,7897,154,458,15285.0
2010,Florida,Indian River County,061,12,12061,135518,121289,41723,78031,1535,14229,31918.0
2010,Florida,Jackson County,063,12,12063,49334,47828,29166,18170,492,1506,17177.0
2010,Florida,Jefferson County,065,12,12065,14583,14015,9263,4656,96,568,19647.0
2010,Florida,Lafayette County,067,12,12067,8506,8139,5801,2213,125,367,18069.0
2010,Florida,Lake County,069,12,12069,291671,266184,96449,161822,7913,25487,25323.0
2010,Florida,Lee County,071,12,12071,606165,513425,150358,349930,13137,92740,29445.0
2010,Florida,Leon County,073,12,12073,270409,252845,146329,101994,4522,17564,25803.0
2010,Florida,Levy County,075,12,12075,40415,38619,20565,17319,735,1796,18703.0
2010,Florida,Liberty County,077,12,12077,8230,8147,5604,2395,148,83,17003.0
2010,Florida,Madison County,079,12,12079,19300,18562,12157,6278,127,738,16346.0
2010,Florida,Manatee County,081,12,12081,318619,279316,97329,177664,4323,39303,28072.0
2010,Florida,Marion County,083,12,12083,326833,301430,115220,177572,8638,25403,22384.0
2010,Florida,Martin County,085,12,12085,144322,129281,36723,90590,1968,15041,35772.0
2010,Florida,Miami-Dade County,086,12,12086,2445374,1196571,783047,329244,84280,1248803,22957.0
2010,Florida,Monroe County,087,12,12087,73065,61238,21186,38768,1284,11827,35516.0
2010,Florida,Nassau County,089,12,12089,71099,69206,35718,32660,828,1893,29089.0
2010,Florida,Okaloosa County,091,12,12091,182076,169675,56269,107204,6202,12401,28621.0
2010,Florida,Okeechobee County,093,12,12093,39883,35044,20486,14209,349,4839,19664.0
